shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.aerialWon,player.firstName,player.lastName,statistics.aerialLost,statistics.outfielderBlock,statistics.accurateCross,statistics.wonContest,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.goals,team,player_type,statistics.totalOffside,statistics.bigChanceMissed
6,6,D,True,,David Martínez,david-martinez,D. Martínez,D,335,909479,PY,Paraguay,EUR,885340800,8.0,7.0,1.0,1.0,,,,,11.0,9.0,6.6,1.0,0.0161,6.6,6.6,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,away,substitute,,
9,9,F,True,,Miguel Borja,miguel-borja,Miguel Borja,F,2357,329601,CO,Colombia,EUR,728006400,2.0,1.0,,,,,,,11.0,2.0,6.4,1.0,0.0,6.4,6.4,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,away,substitute,,
7,7,F,True,,Matías Suárez,matias-suarez,M. Suárez,F,414,46007,AR,Argentina,EUR,579139200,,,,,,,,,14.0,1.0,6.4,1.0,0.0,6.4,6.4,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,away,substitute,,
37,37,G,True,,Lucas Lavagnino,lavagnino-lucas,L. Lavagnino,G,64,1485238,AR,Argentina,EUR,1093132800,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
4,4,D,True,,Jonathan Maidana,jonathan-maidana,J. Maidana,D,124,31980,AR,Argentina,EUR,491443200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
34,34,M,True,,Tomás Castro Ponce,tomas-castro-ponce,T. C. Ponce,M,46,1065612,AR,Argentina,EUR,978825600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Tomas Ezequiel Castro Ponce,,,,,,,,,,,,,away,substitute,,
29,29,M,True,,Rodrigo Aliendro,rodrigo-aliendro,R. Aliendro,M,175,830748,AR,Argentina,EUR,666662400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
35,35,M,True,,Franco Alfonso,franco-alfonso,F. Alfonso,M,144,1410924,AR,Argentina,EUR,1020470400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Franco Alfonso,,,,,,,,,,,,,away,substitute,,
21,21,M,True,,Esequiel Barco,esequiel-barco,E. Barco,M,1487,848473,AR,Argentina,EUR,922665600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
18,18,F,True,,Lucas Beltrán,lucas-beltran,L. Beltrán,F,1092,962029,AR,Argentina,EUR,993254400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,
