shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialWon,statistics.shotOffTarget,statistics.fouls,statistics.dispossessed,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.goals,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalOffside
30,30,F,True,,Daniel Barrea,barrea-daniel,D. Barrea,F,12,1183778,AR,Argentina,EUR,995760000.0,7.0,5.0,1.0,1.0,45.0,15.0,6.5,6.5,6.4,3.0,,4.0,2.0,1.0,1.0,,1.0,7.0,,Daniel Barrea,,,2.0,,,,,,2.0,1.0,,,,,,,away,substitute,,,,
23,23,M,True,,Guillermo Pereira,guillermo-pereira,G. Pereira,M,12,971214,AR,Argentina,EUR,758678400.0,7.0,5.0,1.0,,24.0,14.0,6.2,6.2,6.3,,,3.0,,,1.0,,,4.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,away,substitute,,,,
2,2,D,True,,Diego Novaretti,diego-novaretti,D. Novaretti,D,9,92021,AR,Argentina,EUR,484444800.0,9.0,5.0,2.0,,11.0,13.0,7.0,7.0,7.0,,,,3.0,1.0,1.0,1.0,,4.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,away,substitute,,,,
1,1,G,True,,Manuel Vicentini,manuel-vicentini,M. Vicentini,G,12,256935,AR,Argentina,EUR,640483200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
3,3,D,True,,Lucas Diarte,lucas-diarte,L. Diarte,D,16,332777,AR,Argentina,EUR,739152000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
31,31,M,True,,Cravero,cravero,Cravero,M,0,1119704,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
32,32,M,True,,Ariel Rojas,ariel-rojas,A. Rojas,M,18,147583,AR,Argentina,EUR,506217600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
33,33,F,True,,Iván Ortigoza,ivan-ortigoza,I. Ortigoza,M,7,1092303,AR,Argentina,EUR,794880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
17,17,M,True,,Andrés Amaya,andres-amaya,A. Amaya,F,104,876723,CO,Colombia,EUR,988070400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
7,7,F,True,,Fabián Bordagaray,fabian-bordagaray,F. Bordagaray,F,16,79688,AR,Argentina,EUR,540345600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
