shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.aerialWon,statistics.blockedScoringAttempt,statistics.outfielderBlock,captain,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.challengeLost,statistics.aerialLost,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.errorLeadToAGoal,statistics.totalOffside,statistics.bigChanceMissed
24,24,D,True,Simon Kjær,,,simon-kjaer,S. Kjær,D,2461,21535,DK,Denmark,EUR,606873600,13.0,12.0,,,,,,,,20.0,18.0,6.5,1.0,,6.5,6.5,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,away,substitute,,,
28,28,D,True,Malick Thiaw,,,malick-thiaw,M. Thiaw,D,1991,1014286,DE,Germany,EUR,997228800,9.0,8.0,,,,,,,,20.0,12.0,6.7,1.0,,6.7,6.7,,,,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,away,substitute,,,
19,19,D,True,Theo Hernández,,,theo-hernandez,T. Hernández,D,10170,788027,FR,France,EUR,876096000,10.0,10.0,,,1.0,,,,,20.0,13.0,6.6,,,6.6,6.5,,,,1.0,,1.0,,,,,,,,,,,,,,,,,away,substitute,,,
14,14,M,True,Tijjani Reijnders,,,tijjani-reijnders,T. Reijnders,M,935,893549,NL,Netherlands,EUR,901670400,9.0,8.0,1.0,,,,,,,20.0,13.0,6.6,2.0,,6.6,6.5,1.0,,,,,,,,,1.0,,,,,,,,,,,,,away,substitute,,,
7,7,M,True,Yacine Adli,,,yacine-adli,Y. Adli,M,4039,859024,FR,France,EUR,964828800,18.0,18.0,1.0,1.0,,,,,,20.0,22.0,6.5,1.0,,6.5,6.5,,,2.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,1.0,,,,away,substitute,,,
56,56,M,True,Alexis Saelemaekers,,,saelemaekers-alexis,A. Saelemaekers,M,3303,901891,BE,Belgium,EUR,930441600,12.0,11.0,1.0,1.0,,,,,,20.0,18.0,6.7,2.0,,6.7,6.7,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,away,substitute,,,
10,10,F,True,Rafael Leão,,,rafael-leao,R. Leão,M,21624,851284,PT,Portugal,EUR,928972800,10.0,6.0,1.0,,,,,,,20.0,17.0,7.0,7.0,2.0,7.0,7.0,2.0,1.0,2.0,2.0,,,,1.0,,,,,3.0,2.0,,,,,,,,1.0,away,substitute,,,
90,90,M,True,Charles De Ketelaere,,,charles-de-ketelaere,C. De Ketelaere,M,6796,960441,BE,Belgium,EUR,984182400,13.0,13.0,,,,,,,,20.0,17.0,6.5,3.0,,6.5,6.4,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,away,substitute,,,
9,9,F,True,Olivier Giroud,,,olivier-giroud,O. Giroud,F,16257,39070,FR,France,EUR,528422400,6.0,5.0,,,,,,,,20.0,9.0,6.3,1.0,,6.3,6.3,,,2.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,away,substitute,,,1.0
83,83,G,True,Antonio Mirante,,,antonio-mirante,A. Mirante,G,522,27955,IT,Italy,EUR,426470400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
95,95,D,True,Davide Bartesaghi,,,davide-bartesaghi,D. Bartesaghi,D,46,1390489,IT,Italy,EUR,1135814400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
85,85,M,True,Kevin Zeroli,,,zeroli-kevin,K. Zeroli,M,129,1397348,IT,Italy,EUR,1105401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
70,70,F,True,Chaka Traorè,Chaka Traorè,,chaka-traore,C. Traorè,F,531,1099371,CI,Ivory Coast,EUR,1103760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
