playedEnough,statistics.rating,statistics.id,statistics.type,statistics.appearances,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,category,statistics.goals,statistics.expectedGoals,statistics.assists,statistics.expectedAssists,statistics.goalsAssistsSum,statistics.penaltiesTaken,statistics.penaltyGoals,statistics.shotFromSetPiece,statistics.freeKickGoal,statistics.scoringFrequency,statistics.totalShots,statistics.shotsOnTarget,statistics.bigChancesMissed,statistics.bigChancesCreated,statistics.accuratePasses,statistics.accuratePassesPercentage,statistics.keyPasses,statistics.accurateLongBalls,statistics.successfulDribbles,statistics.successfulDribblesPercentage,statistics.penaltyWon,statistics.tackles,statistics.interceptions,statistics.clearances,statistics.possessionLost,statistics.yellowCards,statistics.redCards
True,,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866920,overall,37,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,25410,973887,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866922,overall,27,Nacho Fernández,nacho-fernandez,N. Fernández,D,7770,69404,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866916,overall,18,Ferland Mendy,ferland-mendy,F. Mendy,D,9092,792073,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,assists,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
True,,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,expectedAssists,,,9.0,8.8224356,,,,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,expectedAssists,,,8.0,6.2017943,,,,,,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,expectedAssists,,,3.0,5.5307017,,,,,,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,expectedAssists,,,4.0,5.50160424,,,,,,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,expectedAssists,,,4.0,5.09421361,,,,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,expectedAssists,,,3.0,4.20800891,,,,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,expectedAssists,,,6.0,4.20660326,,,,,,,,,,,,,,,,,,,,,,,
True,,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,expectedAssists,,,1.0,3.06704996,,,,,,,,,,,,,,,,,,,,,,,
True,,866920,overall,37,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,25410,973887,expectedAssists,,,1.0,2.23560023,,,,,,,,,,,,,,,,,,,,,,,
True,,866914,overall,33,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,22302,859025,expectedAssists,,,4.0,2.10187546,,,,,,,,,,,,,,,,,,,,,,,
True,,871134,overall,27,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,12051,138572,expectedAssists,,,2.0,1.97612956,,,,,,,,,,,,,,,,,,,,,,,
True,,866932,overall,30,Dani Ceballos,dani-ceballos,D. Ceballos,M,8035,547838,expectedAssists,,,4.0,1.95550494,,,,,,,,,,,,,,,,,,,,,,,
True,,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,expectedAssists,,,3.0,1.32125179,,,,,,,,,,,,,,,,,,,,,,,
True,,866918,overall,33,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,14287,142622,expectedAssists,,,,0.863332,,,,,,,,,,,,,,,,,,,,,,,
True,,871136,overall,33,Éder Militão,eder-militao,É. Militão,D,16939,822519,expectedAssists,,,,0.79076437,,,,,,,,,,,,,,,,,,,,,,,
True,,866922,overall,27,Nacho Fernández,nacho-fernandez,N. Fernández,D,7770,69404,expectedAssists,,,1.0,0.68753668,,,,,,,,,,,,,,,,,,,,,,,
True,,895596,overall,9,Mariano Díaz,mariano-diaz,M. Díaz,F,5555,175753,expectedAssists,,,,0.66861469,,,,,,,,,,,,,,,,,,,,,,,
True,,866916,overall,18,Ferland Mendy,ferland-mendy,F. Mendy,D,9092,792073,expectedAssists,,,1.0,0.63554253,,,,,,,,,,,,,,,,,,,,,,,
True,,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,expectedAssists,,,1.0,0.46070734,,,,,,,,,,,,,,,,,,,,,,,
True,,954884,overall,3,Álvaro Odriozola,alvaro-odriozola,Á. Odriozola,D,4003,353250,expectedAssists,,,,0.09505556,,,,,,,,,,,,,,,,,,,,,,,
True,,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,expectedAssists,,,1.0,0.08734474,,,,,,,,,,,,,,,,,,,,,,,
True,,954886,overall,2,Sergio Arribas,sergio-arribas,S. Arribas,M,2207,997203,expectedAssists,,,,0.04156726,,,,,,,,,,,,,,,,,,,,,,,
True,,866924,overall,31,Thibaut Courtois,thibaut-courtois,T. Courtois,G,23985,70988,expectedAssists,,,,0.02629367,,,,,,,,,,,,,,,,,,,,,,,
True,,866900,overall,1,Casemiro,casemiro,Casemiro,M,59818,122951,expectedAssists,,,,0.00204354,,,,,,,,,,,,,,,,,,,,,,,
True,,895593,overall,7,Andriy Lunin,andriy-lunin,A. Lunin,G,6048,857574,expectedAssists,,,,0.00193552,,,,,,,,,,,,,,,,,,,,,,,
True,,985929,overall,1,Jesús Vallejo,jesus-vallejo,J. Vallejo,D,3622,355048,expectedAssists,,,,0.0007751,,,,,,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,goalsAssistsSum,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,
True,,866904,overall,33,Vinícius Júnior,vinicius-junior,Vinícius,F,145260,868812,goalsAssistsSum,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,goalsAssistsSum,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,goalsAssistsSum,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,goalsAssistsSum,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,goalsAssistsSum,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,goalsAssistsSum,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
True,,871136,overall,33,Éder Militão,eder-militao,É. Militão,D,16939,822519,goalsAssistsSum,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
True,,866926,overall,23,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,8014,255239,goalsAssistsSum,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
True,,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,goalsAssistsSum,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
True,,866914,overall,33,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,22302,859025,goalsAssistsSum,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
True,,866932,overall,30,Dani Ceballos,dani-ceballos,D. Ceballos,M,8035,547838,goalsAssistsSum,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
True,,866922,overall,27,Nacho Fernández,nacho-fernandez,N. Fernández,D,7770,69404,goalsAssistsSum,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
True,,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,goalsAssistsSum,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
True,,871134,overall,27,Daniel Carvajal,daniel-carvajal,D. Carvajal,D,12051,138572,goalsAssistsSum,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
True,,866918,overall,33,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,14287,142622,goalsAssistsSum,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
True,,866920,overall,37,Eduardo Camavinga,camavinga-eduardo,E. Camavinga,M,25410,973887,goalsAssistsSum,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
True,,866916,overall,18,Ferland Mendy,ferland-mendy,F. Mendy,D,9092,792073,goalsAssistsSum,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
True,,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,goalsAssistsSum,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
